序号,笔画,汉字,拼音,部件
1725,十一画,职,zhí,
1724,十一画,掘,jué,扌，
1723,十一画,据,"jù,jū",扌，
1722,十一画,探,tàn,扌，
1721,十一画,控,kòng,扌，
1720,十一画,接,jiē,扌，
1719,十一画,培,péi,
1718,十一画,掠,lüè,扌，
1717,十一画,掏,tāo,扌，
1716,十一画,教,"jiào,jiāo",
1715,十一画,授,shòu,扌，
1714,十一画,掀,xiān,扌，
1713,十一画,推,tuī,扌，
1712,十一画,堆,duī,
1711,十一画,掉,diào,扌，
1710,十一画,排,"pái,pǎi",扌，
1709,十一画,捷,jié,扌，
1708,十一画,掩,yǎn,扌，
1707,十一画,域,yù,
1706,十一画,描,miáo,扌，
1705,十一画,堵,dǔ,
1704,十一画,捧,pěng,扌，
1703,十一画,理,lǐ,
1702,十一画,球,qiú,
1701,十画,继,jì,纟，
1700,十画,验,yàn,
1699,十画,绣,xiù,纟，
1698,十画,绢,juàn,纟，
1697,十画,桑,sāng,
1696,十画,预,yù,
1695,十画,难,"nán,nàn,nuó",
1694,十画,能,"néng,nài",
1693,十画,通,tōng,
1692,十画,娘,niáng,
1691,十画,娱,yú,
1690,十画,陪,péi,
1689,十画,陷,xiàn,
1688,十画,陶,táo,
1687,十画,陵,líng,
1686,十画,弱,ruò,
1685,十画,屑,xiè,
1684,十画,剧,jù,
1683,十画,展,zhǎn,
1682,十画,恳,kěn,
1681,十画,剥,"bāo,bō",
1680,十画,谊,yì,
1679,十画,谈,tán,
1678,十画,谅,liàng,
1677,十画,冤,yuān,
1676,十画,调,"tiáo,diào,zhōu",
1675,十画,谁,shuí,
1674,十画,课,kè,
1673,十画,祥,xiáng,
1672,十画,被,"bèi,pī",
1671,十画,袍,páo,
1670,十画,袖,xiù,
1669,十画,袜,wà,
1668,十画,扇,"shàn,shān",
1667,十画,读,"dú,dòu",
1666,十画,诸,zhū,
1665,十画,朗,lǎng,
1664,十画,请,qǐng,
1663,十画,案,àn,
1662,十画,宰,zǎi,
1661,十画,容,róng,
1660,十画,窄,zhǎi,
1659,十画,宾,bīn,
1658,十画,宴,yàn,
1657,十画,宵,xiāo,
1656,十画,家,"jiā,jia",
1655,十画,宽,kuān,
1654,十画,害,hài,
1653,十画,悦,yuè,
1652,十画,悔,huǐ,
1651,十画,悄,"qiǎo,qiāo",
1650,十画,悟,wù,
1649,十画,涌,"yǒng,chōng",
1648,十画,烫,tàng,
1647,十画,涨,"zhǎng,zhàng",
1646,十画,浸,jìn,
1645,十画,浪,làng,
1644,十画,润,rùn,
1643,十画,流,liú,
1642,十画,浮,fú,
1641,十画,浴,yù,
1640,十画,涂,tú,
1639,十画,海,hǎi,
1638,十画,浩,hào,
1637,十画,消,xiāo,
1636,十画,涉,shè,
1635,十画,酒,jiǔ,
1634,十画,涝,lào,
1633,十画,浙,zhè,
1632,十画,涛,tāo,
1631,十画,递,dì,
1630,十画,烟,yān,
1629,十画,烛,zhú,
1628,十画,烧,shāo,
1627,十画,烦,fán,
1626,十画,烘,hōng,
1625,十画,烤,kǎo,
1624,十画,兼,jiān,
1623,十画,益,yì,
1622,十画,料,liào,
1621,十画,粉,fěn,
1620,十画,拳,quán,
1619,十画,瓶,píng,
1618,十画,羞,xiū,
1617,十画,阅,yuè,
1616,十画,畜,"xù,chù",
1615,十画,旅,lǚ,
1614,十画,旁,"páng,bàng",
1613,十画,部,bù,
1612,十画,竞,jìng,
1611,十画,剖,pōu,
1610,十画,站,zhàn,
1609,十画,凉,"liáng,liàng",
1608,十画,资,zī,
1607,十画,唐,táng,
1606,十画,离,lí,
1605,十画,效,xiào,
1604,十画,疲,pí,
1603,十画,疼,téng,
1602,十画,疾,jí,
1601,十画,病,bìng,
1600,十画,症,"zhèng,zhēng",
1599,十画,脊,jǐ,
1598,十画,座,zuò,
1597,十画,准,zhǔn,
1596,十画,席,xí,
1595,十画,高,gāo,
1594,十画,衰,shuāi,
1593,十画,浆,"jiāng,jiàng",
1592,十画,桨,jiǎng,
1591,十画,恋,liàn,
1590,十画,饿,è,
1589,十画,皱,zhòu,
1588,十画,留,liú,
1587,十画,逢,féng,
1586,十画,狼,láng,
1585,十画,狸,lí,
1584,十画,脑,nǎo,
1583,十画,胶,jiāo,
1582,十画,脏,zàng,
1581,十画,胳,"gē,gé",
1580,十画,胸,xiōng,
1579,十画,脂,zhī,
1578,十画,脆,cuì,
1577,十画,翁,wēng,
1576,十画,颂,sòng,
1575,十画,爱,ài,
1574,十画,爹,diē,
1573,十画,拿,ná,
1572,十画,途,tú,
1571,十画,航,háng,
1570,十画,般,bān,
1569,十画,舱,cāng,
1568,十画,舰,jiàn,
1567,十画,徐,xú,
1566,十画,徒,tú,
1565,十画,息,xī,
1564,十画,躬,gōng,
1563,十画,射,"shè,yè,yì",
1562,十画,臭,"chòu,xiù",
1561,十画,健,jiàn,
1560,十画,倦,juàn,
1559,十画,倍,bèi,
1558,十画,俯,fǔ,
1557,十画,候,hòu,
1556,十画,倡,"chàng,chāng",
1555,十画,俱,jù,
1554,十画,倘,"tǎng,cháng",
1553,十画,倒,"dǎo,dào",
1552,十画,倾,qīng,
1551,十画,倚,yǐ,
1550,十画,值,zhí,
1549,十画,借,jiè,
1548,十画,债,zhài,
1547,十画,笋,sǔn,
1546,十画,笑,xiào,
1545,十画,笔,bǐ,
1544,十画,透,tòu,
1543,十画,秘,"mì,bì",
1542,十画,称,"chēng,chèn,chèng",
1541,十画,秩,zhì,
1540,十画,秧,yāng,
1539,十画,积,jī,
1538,十画,租,zū,
1537,十画,秤,chèng,
1536,十画,敌,dí,
1535,十画,乘,"chéng,shèng",
1534,十画,造,zào,
1533,十画,牺,xī,
1532,十画,特,tè,
1531,十画,氧,yǎng,
1530,十画,缺,quē,
1529,十画,铅,"qiān,yán",
1528,十画,铃,líng,
1527,十画,铁,tiě,
1526,十画,钻,"zuān,zuàn",
1525,十画,钳,qián,
1524,十画,钱,qián,
1523,十画,贿,huì,
1522,十画,贼,zéi,
1521,十画,圆,yuán,
1520,十画,峰,fēng,
1519,十画,罢,"bà,ba,pí",
1518,十画,唉,"āi,ài",
1517,十画,啊,"ā,á,ǎ,à,a",
1516,十画,唤,huàn,
1515,十画,恩,ēn,
1514,十画,哭,kū,
1513,十画,哨,shào,
1512,十画,蚊,wén,
1511,十画,晕,"yùn,yūn",
1510,十画,晌,shǎng,
1509,十画,晃,"huǎng,huàng",
1508,十画,鸭,yā,
1507,十画,晓,xiǎo,
1506,十画,眠,mián,
1505,十画,晒,shài,
1504,十画,党,dǎng,
1503,十画,紧,jǐn,
1502,十画,监,"jiān,jiàn",
1501,十画,虑,lǜ,
1500,十画,桌,zhuō,
1499,十画,柴,chái,
1498,十画,致,zhì,
1497,十画,毙,bì,
1496,十画,顿,dùn,
1495,十画,较,jiào,
1494,十画,轿,jiào,
1493,十画,顾,gù,
1492,十画,殊,shū,
1491,十画,烈,liè,
1490,十画,逐,zhú,
1489,十画,套,tào,
1488,十画,原,yuán,
1487,十画,破,pò,
1486,十画,础,chǔ,
1485,十画,夏,xià,
1484,十画,唇,chún,
1483,十画,辱,rǔ,
1482,十画,翅,chì,
1481,十画,配,pèi,
1480,十画,栗,lì,
1479,十画,逗,dòu,
1478,十画,速,sù,
1477,十画,哥,gē,
1476,十画,索,suǒ,
1475,十画,根,gēn,
1474,十画,样,yàng,
1473,十画,核,"hé,hú",
1472,十画,校,"xiào,jiào",
1471,十画,格,gé,
1470,十画,桃,táo,
1469,十画,桥,qiáo,
1468,十画,株,zhū,
1467,十画,桐,tóng,
1466,十画,档,dàng,
1465,十画,桂,guì,
1464,十画,框,kuàng,
1463,十画,真,zhēn,
1462,十画,恶,"è,wù,ě,wū",
1461,十画,晋,jìn,
1460,十画,获,huò,
1459,十画,荷,hé,
1458,十画,莫,"mò,mù",
1457,十画,莲,lián,
1456,十画,恭,gōng,
1455,十画,耽,dān,
1454,十画,耻,chǐ,
1453,十画,挨,"āi,ái",
1452,十画,壶,hú,
1451,十画,恐,kǒng,
1450,十画,热,rè,
1449,十画,挽,wǎn,扌，
1448,十画,换,huàn,扌，
1447,十画,捡,jiǎn,扌，
1446,十画,逝,shì,
1445,十画,哲,zhé,
1444,十画,都,"dū,dōu",
1443,十画,损,sǔn,扌，
1442,十画,捐,juān,扌，
1441,十画,捆,kǔn,扌，
1440,十画,捉,zhuō,扌，
1439,十画,埋,"mái,mán",
1438,十画,捏,niē,扌，
1437,十画,捎,"shāo,shào",扌，
1436,十画,盐,yán,
1435,十画,起,qǐ,
1434,十画,赶,gǎn,
1433,十画,载,"zǎi,zài",
1432,十画,振,zhèn,扌，
1431,十画,捕,bǔ,扌，
1430,十画,栽,zāi,
1429,十画,捞,lāo,扌，
1428,十画,匪,fěi,
1427,十画,盏,zhǎn,
1426,十画,顽,wán,
1425,十画,蚕,cán,
1424,十画,素,sù,
1423,十画,班,bān,
1422,十画,珠,zhū,
1421,十画,泰,tài,
1420,十画,艳,yàn,
1419,十画,耗,hào,
1418,十画,耕,gēng,
1417,九画,统,tǒng,纟，
1416,九画,绞,jiǎo,纟，
1415,九画,绝,jué,纟，
1414,九画,骆,luò,
1413,九画,络,"luò,lào",纟，
1412,九画,给,"gěi,jǐ",纟，
1411,九画,绘,huì,纟，
1410,九画,骄,jiāo,
1409,九画,绕,rào,纟，
1408,九画,结,"jié,jiē",纟，
1407,九画,绒,róng,纟，
1406,九画,绑,bǎng,纟，
1405,九画,垒,lěi,
1404,九画,柔,róu,
1403,九画,怠,dài,
1402,九画,勇,yǒng,
1401,九画,盈,yíng,
1400,九画,贺,hè,
1399,九画,架,jià,
1398,九画,怒,nù,
1397,九画,娇,jiāo,
1396,九画,姻,yīn,
1395,九画,姨,yí,
1394,九画,姥,"mǔ,lǎo",
1393,九画,娃,wá,
1392,九画,院,yuàn,
1391,九画,险,xiǎn,
1390,九画,除,chú,
1389,九画,孩,hái,
1388,九画,眉,méi,
1387,九画,陡,dǒu,
1386,九画,费,fèi,
1385,九画,昼,zhòu,
1384,九画,屋,wū,
1383,九画,既,jì,
1382,九画,退,tuì,
1381,九画,垦,kěn,
1380,九画,诵,sòng,
1379,九画,说,"shuō,shuì,yuè",
1378,九画,诱,yòu,
1377,九画,误,wù,
1376,九画,祝,zhù,
1375,九画,神,shén,
1374,九画,祖,zǔ,
1373,九画,袄,ǎo,
1372,九画,扁,"biǎn,piān",
1371,九画,语,"yǔ,yù",
1370,九画,冠,"guān,guàn",
1369,九画,客,kè,
1368,九画,窃,qiè,
1367,九画,穿,chuān,
1366,九画,突,tū,
1365,九画,宪,xiàn,
1364,九画,宫,gōng,
1363,九画,室,shì,
1362,九画,宣,xuān,
1361,九画,觉,"jué,jiào",
1360,九画,举,jǔ,
1359,九画,恨,hèn,
1358,九画,恼,nǎo,
1357,九画,恰,qià,
1356,九画,恢,huī,
1355,九画,恒,héng,
1354,九画,津,jīn,
1353,九画,浓,nóng,
1352,九画,浑,hún,
1351,九画,洲,zhōu,
1350,九画,洋,yáng,
1349,九画,济,"jì,jǐ",
1348,九画,染,rǎn,
1347,九画,洽,qià,
1346,九画,派,pài,
1345,九画,活,huó,
1344,九画,洗,"xǐ,xiǎn",
1343,九画,测,cè,
1342,九画,洞,dòng,
1341,九画,浊,zhuó,
1340,九画,浇,jiāo,
1339,九画,洒,"sǎ,xǐ",
1338,九画,洪,hóng,
1337,九画,洁,jié,
1336,九画,剃,tì,
1335,九画,烂,làn,
1334,九画,炮,"páo,bāo,pào",
1333,九画,炸,"zhà,zhá",
1332,九画,炼,liàn,
1331,九画,总,zǒng,
1330,九画,逆,nì,
1329,九画,首,shǒu,
1328,九画,前,qián,
1327,九画,迷,mí,
1326,九画,类,lèi,
1325,九画,送,sòng,
1324,九画,叛,pàn,
1323,九画,姜,jiāng,
1322,九画,美,měi,
1321,九画,养,yǎng,
1320,九画,差,"chà,chā,chāi,cī",
1319,九画,阁,gé,
1318,九画,阀,fá,
1317,九画,闻,wén,
1316,九画,施,shī,
1315,九画,帝,dì,
1314,九画,音,yīn,
1313,九画,亲,"qīn,qìng",
1312,九画,姿,zī,
1311,九画,疤,bā,
1310,九画,疫,yì,
1309,九画,疯,fēng,
1308,九画,疮,chuāng,
1307,九画,庭,tíng,
1306,九画,迹,jì,
1305,九画,度,"dù,duó",
1304,九画,亮,liàng,
1303,九画,亭,tíng,
1302,九画,哀,āi,
1301,九画,奖,jiǎng,
1300,九画,将,"jiāng,jiàng",
1299,九画,弯,wān,
1298,九画,饼,bǐng,
1297,九画,饺,jiǎo,
1296,九画,蚀,shí,
1295,九画,饶,ráo,
1294,九画,急,jí,
1293,九画,怨,yuàn,
1292,九画,贸,mào,
1291,九画,狠,hěn,
1290,九画,狱,yù,
1289,九画,狡,jiǎo,
1288,九画,独,dú,
1287,九画,狮,shī,
1286,九画,狭,xiá,
1285,九画,勉,miǎn,
1284,九画,脉,"mài,mò",
1283,九画,胖,"pàng,pán,pàn",
1282,九画,胞,bāo,
1281,九画,胜,shèng,
1280,九画,胆,dǎn,
1279,九画,盆,pén,
1278,九画,食,"shí,sì,yì",
1277,九画,逃,táo,
1276,九画,剑,jiàn,
1275,九画,叙,xù,
1274,九画,须,xū,
1273,九画,很,hěn,
1272,九画,律,lǜ,
1271,九画,待,"dài,dāi",
1270,九画,盾,dùn,
1269,九画,俊,jùn,
1268,九画,追,"zhuī,duī",
1267,九画,侵,qīn,
1266,九画,鬼,guǐ,
1265,九画,泉,quán,
1264,九画,皇,huáng,
1263,九画,信,"xìn,shēn",
1262,九画,俘,fú,
1261,九画,俗,sú,
1260,九画,俭,jiǎn,
1259,九画,侮,wǔ,
1258,九画,促,cù,
1257,九画,保,bǎo,
1256,九画,修,xiū,
1255,九画,顺,shùn,
1254,九画,贷,dài,
1253,九画,俩,"liǎng,liǎ",
1252,九画,便,"biàn,pián",
1251,九画,段,duàn,
1250,九画,竿,gān,
1249,九画,复,fù,
1248,九画,重,"zhòng,chóng",
1247,九画,科,kē,
1246,九画,秋,qiū,
1245,九画,种,"zhǒng,zhòng,chóng",
1244,九画,香,xiāng,
1243,九画,秒,miǎo,
1242,九画,适,shì,
1241,九画,选,xuǎn,
1240,九画,牲,shēng,
1239,九画,怎,zěn,
1238,九画,矩,jǔ,
1237,九画,看,"kàn,kān",龵，目
1236,九画,拜,bài,
1235,九画,缸,gāng,
1234,九画,卸,xiè,
1233,九画,钩,gōu,
1232,九画,钥,"yuè,yào",
1231,九画,钢,"gāng,gàng",
1230,九画,钟,zhōng,
1229,九画,钞,chāo,
1228,九画,骨,"gǔ,gū",
1227,九画,贴,tiē,
1226,九画,贱,jiàn,
1225,九画,罚,fá,
1224,九画,峡,xiá,
1223,九画,炭,tàn,
1222,九画,哪,"nǎ,něi,na,né",
1221,九画,咳,"ké,hāi",
1220,九画,咬,yǎo,
1219,九画,哈,"hā,hǎ,hà",
1218,九画,响,xiǎng,
1217,九画,咱,"zán,zá,zǎ",
1216,九画,哗,"huá,huā",
1215,九画,骂,mà,
1214,九画,咽,"yān,yàn,yè",
1213,九画,品,pǐn,
1212,九画,虽,suī,
1211,九画,蚂,"mǎ,mā,mà",
1210,九画,思,"sī,sāi",
1209,九画,蚁,yǐ,
1208,九画,虾,xiā,
1207,九画,虹,hóng,
1206,九画,界,jiè,
1205,九画,贵,guì,
1204,九画,胃,wèi,
1203,九画,趴,pā,
1202,九画,畏,wèi,
1201,九画,昨,zuó,
1200,九画,星,xīng,
1199,九画,映,yìng,
1198,九画,冒,"mào,mò",
1197,九画,哑,"yǎ,yā",
1196,九画,显,xiǎn,
1195,九画,哄,"hōng,hǒng,hòng",
1194,九画,眨,zhǎ,
1193,九画,盼,pàn,
1192,九画,是,shì,
1191,九画,尝,cháng,
1190,九画,削,"xiāo,xuē",
1189,九画,省,"shěng,xǐng",
1188,九画,竖,shù,
1187,九画,览,lǎn,
1186,九画,临,lín,
1185,九画,点,diǎn,
1184,九画,战,zhàn,
1183,九画,背,"bèi,bēi",
1182,九画,皆,jiē,
1181,九画,鸦,yā,
1180,九画,轻,qīng,
1179,九画,殃,yāng,
1178,九画,残,cán,
1177,九画,牵,qiān,
1176,九画,耍,shuǎ,
1175,九画,耐,nài,
1174,九画,面,miàn,
1173,九画,砍,kǎn,
1172,九画,砌,"qì,qiè",
1171,九画,厚,hòu,
1170,九画,厘,lí,
1169,九画,砖,zhuān,
1168,九画,研,"yán,yàn",
1167,九画,歪,wāi,
1166,九画,威,wēi,
1165,九画,咸,xián,
1164,九画,要,"yào,yāo",
1163,九画,树,shù,
1162,九画,栏,lán,
1161,九画,柿,shì,
1160,九画,柱,zhù,
1159,九画,柳,liǔ,
1158,九画,柏,"bǎi,bó,bò",
1157,九画,查,"chá,zhā",
1156,九画,相,"xiāng,xiàng",
1155,九画,栋,dòng,
1154,九画,柄,bǐng,
1153,九画,枯,kū,
1152,九画,标,biāo,
1151,九画,药,yào,
1150,九画,南,"nán,nā",
1149,九画,胡,hú,
1148,九画,故,gù,
1147,九画,荣,róng,
1146,九画,荡,dàng,
1145,九画,茫,máng,
1144,九画,荒,huāng,
1143,九画,茶,chá,
1142,九画,茧,jiǎn,
1141,九画,草,cǎo,
1140,九画,带,dài,
1139,九画,巷,"xiàng,hàng",
1138,九画,荐,jiàn,
1137,九画,革,gé,
1136,九画,甚,"shèn,shén",
1135,九画,某,mǒu,
1134,九画,挪,nuó,扌，
1133,九画,挥,huī,扌，
1132,九画,按,àn,扌，
1131,九画,挖,wā,扌，
1130,九画,拼,pīn,扌，
1129,九画,挤,jǐ,扌，
1128,九画,挣,"zhèng,zhēng",扌，
1127,九画,垫,diàn,扌，
1126,九画,指,zhǐ,扌，
1125,九画,挑,"tiāo,tiǎo",扌，
1124,九画,拾,"shí,shè",扌，
1123,九画,拴,shuān,扌，
1122,九画,括,"kuò,guā",扌，
1121,九画,挺,tǐng,扌，
1120,九画,挡,"dǎng,dàng",扌，
1119,九画,赵,zhào,
1118,九画,赴,fù,
1117,九画,政,zhèng,
1116,九画,挠,náo,扌，
1115,九画,城,chéng,
1114,九画,挎,"kuà,kū",扌，
1113,九画,垮,kuǎ,
1112,九画,项,xiàng,
1111,九画,持,chí,扌，
1110,九画,封,fēng,
1109,九画,挂,guà,扌，
1108,九画,型,xíng,
1107,九画,毒,"dú,dài",
1106,九画,玻,bō,
1105,九画,珍,zhēn,
1104,九画,帮,bāng,
1103,九画,春,chūn,
1102,九画,奏,zòu,
1101,八画,贯,guàn,
1100,八画,经,jīng,纟，
1099,八画,绍,shào,纟，
1098,八画,驼,tuó,
1097,八画,驻,zhù,
1096,八画,终,zhōng,纟，
1095,八画,织,"zhī,zhì",纟，
1094,八画,驶,shǐ,
1093,八画,细,xì,纟，
1092,八画,组,zǔ,纟，
1091,八画,练,liàn,纟，
1090,八画,线,xiàn,纟，
1089,八画,艰,jiān,
1088,八画,参,"cān,shēn,cēn,sān",
1087,八画,驾,jià,
1086,八画,始,shǐ,
1085,八画,姓,xìng,
1084,八画,姐,jiě,
1083,八画,姑,gū,
1082,八画,妹,mèi,
1081,八画,限,xiàn,
1080,八画,降,"jiàng,xiáng",
1079,八画,陕,shǎn,
1078,八画,孤,gū,
1077,八画,孟,mèng,
1076,八画,承,chéng,
1075,八画,弦,xián,
1074,八画,屈,qū,
1073,八画,刷,"shuā,shuà",
1072,八画,届,jiè,
1071,八画,居,jū,
1070,八画,隶,"lì,dài",
1069,八画,录,lù,
1068,八画,肃,sù,
1067,八画,建,jiàn,
1066,八画,详,"xiáng,yáng",
1065,八画,该,gāi,
1064,八画,询,xún,
1063,八画,诞,dàn,
1062,八画,话,huà,
1061,八画,视,shì,
1060,八画,衫,shān,
1059,八画,衬,chèn,
1058,八画,诚,chéng,
1057,八画,房,fáng,
1056,八画,肩,jiān,
1055,八画,诗,shī,
1054,八画,郎,"láng,làng",
1053,八画,试,shì,
1052,八画,实,shí,
1051,八画,帘,lián,
1050,八画,空,"kōng,kòng,kǒng",
1049,八画,官,guān,
1048,八画,宙,zhòu,
1047,八画,审,shěn,
1046,八画,宜,yí,
1045,八画,定,dìng,
1044,八画,宗,zōng,
1043,八画,宝,bǎo,
1042,八画,学,xué,
1041,八画,怪,guài,
1040,八画,怜,lián,
1039,八画,怕,pà,
1038,八画,性,xìng,
1037,八画,怖,bù,
1036,八画,治,zhì,
1035,八画,泽,"zé,shì",
1034,八画,泼,pō,
1033,八画,波,bō,
1032,八画,沸,fèi,
1031,八画,泥,"ní,nì",
1030,八画,泳,yǒng,
1029,八画,泻,xiè,
1028,八画,注,zhù,
1027,八画,泡,"pào,pāo",
1026,八画,沿,yán,
1025,八画,泊,"bó,pō",
1024,八画,油,yóu,
1023,八画,泪,lèi,
1022,八画,沾,zhān,
1021,八画,河,hé,
1020,八画,泄,"xiè,yì",
1019,八画,法,fǎ,
1018,八画,浅,"qiǎn,jiān",
1017,八画,沫,mò,
1016,八画,炉,lú,
1015,八画,炎,yán,
1014,八画,炕,kàng,
1013,八画,炊,chuī,
1012,八画,炒,chǎo,
1011,八画,单,"dān,shàn,chán",
1010,八画,卷,"juàn,juǎn",
1009,八画,券,"quàn,xuàn",
1008,八画,郑,zhèng,
1007,八画,闹,nào,
1006,八画,闸,zhá,
1005,八画,育,yù,
1004,八画,刻,kè,
1003,八画,放,fàng,
1002,八画,盲,máng,
1001,八画,净,"jìng,chēng",
1000,八画,废,fèi,
0999,八画,郊,jiāo,
0998,八画,剂,jì,
0997,八画,底,"dǐ,de",
0996,八画,府,fǔ,
0995,八画,庙,miào,
0994,八画,夜,yè,
0993,八画,店,diàn,
0992,八画,享,xiǎng,
0991,八画,京,jīng,
0990,八画,变,biàn,
0989,八画,饲,sì,
0988,八画,饱,bǎo,
0987,八画,饰,shì,
0986,八画,备,bèi,
0985,八画,狗,gǒu,
0984,八画,忽,hū,
0983,八画,狐,hú,
0982,八画,兔,tù,
0981,八画,鱼,yú,
0980,八画,昏,hūn,
0979,八画,周,zhōu,
0978,八画,胁,xié,
0977,八画,服,"fú,fù",
0976,八画,肥,féi,
0975,八画,股,gǔ,
0974,八画,朋,péng,
0973,八画,胀,zhàng,
0972,八画,肿,zhǒng,
0971,八画,肢,zhī,
0970,八画,肺,fèi,
0969,八画,肤,fū,
0968,八画,贫,pín,
0967,八画,念,niàn,
0966,八画,贪,tān,
0965,八画,乳,rǔ,
0964,八画,受,shòu,
0963,八画,采,"cǎi,cài",
0962,八画,爸,bà,
0961,八画,斧,fǔ,
0960,八画,命,mìng,
0959,八画,金,jīn,
0958,八画,舍,shè,
0957,八画,所,suǒ,
0956,八画,径,jìng,
0955,八画,彼,bǐ,
0954,八画,爬,pá,
0953,八画,往,wǎng,
0952,八画,征,zhēng,
0951,八画,欣,xīn,
0950,八画,质,zhì,
0949,八画,迫,"pò,pǎi",
0948,八画,的,"dí,dì,de",
0947,八画,依,yī,
0946,八画,货,huò,
0945,八画,佩,pèi,
0944,八画,侨,qiáo,
0943,八画,凭,píng,
0942,八画,侧,"cè,zè,zhāi",
0941,八画,侦,zhēn,
0940,八画,侄,zhí,
0939,八画,版,bǎn,
0938,八画,例,lì,
0937,八画,使,shǐ,
0936,八画,供,"gōng,gòng",
0935,八画,侍,shì,
0934,八画,佳,jiā,
0933,八画,委,"wěi,wēi",
0932,八画,季,jì,
0931,八画,和,"hé,hè,huó,huò,hú",
0930,八画,秆,gǎn,
0929,八画,刮,guā,
0928,八画,乖,guāi,
0927,八画,物,wù,
0926,八画,牧,mù,
0925,八画,垂,chuí,
0924,八画,知,"zhī,zhì",
0923,八画,制,zhì,
0922,八画,钓,diào,
0921,八画,图,tú,
0920,八画,购,gòu,
0919,八画,贩,fàn,
0918,八画,败,bài,
0917,八画,凯,kǎi,
0916,八画,岭,"lǐng,líng",
0915,八画,帜,zhì,
0914,八画,罗,luó,
0913,八画,帖,"tiè,tiě,tiē",
0912,八画,岩,yán,
0911,八画,岸,àn,
0910,八画,呢,"ní,ne",
0909,八画,咏,yǒng,
0908,八画,鸣,míng,
0907,八画,呼,hū,
0906,八画,咐,fù,
0905,八画,忠,zhōng,
0904,八画,固,gù,
0903,八画,典,diǎn,
0902,八画,昂,áng,
0901,八画,易,yì,
0900,八画,明,míng,
0899,八画,畅,chàng,
0898,八画,昌,chāng,
0897,八画,国,guó,
0896,八画,昆,kūn,
0895,八画,味,wèi,
0894,八画,果,guǒ,
0893,八画,具,jù,
0892,八画,旺,wàng,
0891,八画,尚,shàng,
0890,八画,贤,xián,
0889,八画,肾,shèn,
0888,八画,虏,lǔ,
0887,八画,虎,hǔ,
0886,八画,些,"xiē,suò",
0885,八画,齿,chǐ,
0884,八画,肯,kěn,
0883,八画,叔,shū,
0882,八画,非,fēi,
0881,八画,到,dào,
0880,八画,软,ruǎn,
0879,八画,轮,lún,
0878,八画,斩,zhǎn,
0877,八画,转,"zhuǎn,zhuàn,zhuǎi",
0876,八画,顷,qǐng,
0875,八画,轰,hōng,
0874,八画,妻,"qī,qì",
0873,八画,垄,lǒng,
0872,八画,欧,ōu,
0871,八画,态,tài,
0870,八画,奋,fèn,
0869,八画,奇,"qí,jī",
0868,八画,奔,"bēn,bèn",
0867,八画,厕,cè,
0866,八画,码,mǎ,
0865,八画,矿,kuàng,
0864,八画,卖,mài,
0863,八画,雨,"yǔ,yù",
0862,八画,枣,zǎo,
0861,八画,刺,"cì,cī",
0860,八画,事,shì,
0859,八画,卧,wò,
0858,八画,画,huà,
0857,八画,或,huò,
0856,八画,丧,"sāng,sàng",
0855,八画,枕,zhěn,
0854,八画,述,shù,
0853,八画,杰,jié,
0852,八画,构,gòu,
0851,八画,枪,qiāng,
0850,八画,松,sōng,
0849,八画,板,bǎn,
0848,八画,析,xī,
0847,八画,柜,"guì,jǔ",
0846,八画,杯,bēi,
0845,八画,枝,"zhī,qí",
0844,八画,林,lín,
0843,八画,茅,máo,艹，
0842,八画,茎,jīng,艹，
0841,八画,茄,qié,艹，
0840,八画,直,zhí,
0839,八画,范,fàn,艹，
0838,八画,英,yīng,艹，
0837,八画,苗,miáo,艹，
0836,八画,苹,"píng,pēng",艹，
0835,八画,茂,mào,艹，
0834,八画,若,"ruò,rě",艹，
0833,八画,苦,kǔ,艹，
0832,八画,取,qǔ,
0831,八画,其,"qí,jī",
0830,八画,抬,tái,扌，
0829,八画,择,"zé,zhái",扌，
0828,八画,拨,bō,扌，
0827,八画,披,pī,扌，
0826,八画,坡,pō,
0825,八画,招,zhāo,扌，
0824,八画,幸,xìng,
0823,八画,拌,"bàn,pàn",扌，
0822,八画,拦,lán,扌，
0821,八画,拉,"lā,lá",扌，
0820,八画,垃,lā,
0819,八画,抱,bào,扌，
0818,八画,势,shì,扌，
0817,八画,拘,"jū,gōu",扌，
0816,八画,抵,dǐ,扌，
0815,八画,拥,yōng,扌，
0814,八画,拆,"chāi,cā",扌，
0813,八画,顶,dǐng,
0812,八画,者,zhě,
0811,八画,拍,pāi,扌，
0810,八画,拖,tuō,扌，
0809,八画,拐,guǎi,扌，
0808,八画,抽,chōu,扌，
0807,八画,押,yā,扌，
0806,八画,坦,tǎn,
0805,八画,担,"dān,dàn,dǎn",扌，
0804,八画,拣,jiǎn,扌，
0803,八画,拔,bá,扌，
0802,八画,拢,lǒng,扌，
0801,八画,抹,"mǒ,mò,mā",扌，
0800,八画,规,guī,
0799,八画,表,biǎo,
0798,八画,现,xiàn,
0797,八画,责,zé,
0796,八画,青,qīng,
0795,八画,武,wǔ,
0794,八画,环,huán,
0793,八画,玩,wán,
0792,八画,奉,fèng,
0791,七画,纽,niǔ,纟，
0790,七画,驴,lǘ,
0789,七画,纺,fǎng,纟，
0788,七画,纹,"wén,wèn",纟，
0787,七画,纸,zhǐ,纟，
0786,七画,纷,fēn,纟，
